House Vote #69 2020-02-12T16:59:00 - H.R. 2546: Protecting America’s Wilderness Act
person,state,district,vote,name,party
412520,CA,41,Yea,Rep. Mark Takano [D],Democrat
412521,CA,47,Yea,Rep. Alan Lowenthal [D],Democrat
412522,CA,51,Yea,Rep. Juan Vargas [D],Democrat
412523,CA,52,Yea,Rep. Scott Peters [D],Democrat
412525,FL,3,Nay,Rep. Ted Yoho [R],Republican
412529,FL,21,Yea,Rep. Lois Frankel [D],Democrat
412531,GA,9,Nay,Rep. Doug Collins [R],Republican
412532,HI,2,Not Voting,Rep. Tulsi Gabbard [D],Democrat
412534,IL,10,Yea,Rep. Bradley “Brad” Schneider [D],Democrat
412536,IL,13,Nay,Rep. Rodney Davis [R],Republican
412537,IL,17,Yea,Rep. Cheri Bustos [D],Democrat
412538,IN,2,Nay,Rep. Jackie Walorski [R],Republican
412539,IN,5,Nay,Rep. Susan Brooks [R],Republican
412541,KY,6,Nay,Rep. Garland “Andy” Barr [R],Republican
412543,MA,4,Yea,Rep. Joseph Kennedy III [D],Democrat
412546,MI,5,Yea,Rep. Daniel Kildee [D],Democrat
412548,MO,2,Nay,Rep. Ann Wagner [R],Republican
412550,NC,8,Nay,Rep. Richard Hudson [R],Republican
412552,NC,11,Nay,"Rep. Mark Meadows [R, 2013-2020]",Republican
412553,NC,2,Nay,Rep. George Holding [R],Republican
412557,NH,2,Yea,Rep. Ann Kuster [D],Democrat
412559,NV,4,Yea,Rep. Steven Horsford [D],Democrat
412560,NY,6,Yea,Rep. Grace Meng [D],Democrat
412561,NY,8,Yea,Rep. Hakeem Jeffries [D],Democrat
412562,NY,18,Yea,Rep. Sean Maloney [D],Democrat
412564,OH,2,Nay,Rep. Brad Wenstrup [R],Republican
412565,OH,3,Yea,Rep. Joyce Beatty [D],Democrat
412566,OH,14,Nay,Rep. David Joyce [R],Republican
412568,OK,2,Not Voting,Rep. Markwayne Mullin [R],Republican
412569,PA,10,Nay,Rep. Scott Perry [R],Republican
412571,PA,8,Yea,Rep. Matthew Cartwright [D],Democrat
412572,SC,7,Nay,Rep. Tom Rice [R],Republican
412574,TX,14,Nay,Rep. Randy Weber [R],Republican
412576,TX,20,Yea,Rep. Joaquin Castro [D],Democrat
412578,TX,25,Nay,Rep. Roger Williams [R],Republican
412579,TX,33,Yea,Rep. Marc Veasey [D],Democrat
412580,TX,34,Yea,Rep. Filemon Vela [D],Democrat
412581,UT,2,Nay,Rep. Chris Stewart [R],Republican
412583,WA,6,Yea,Rep. Derek Kilmer [D],Democrat
412584,WA,10,Yea,Rep. Denny Heck [D],Democrat
412585,WI,2,Yea,Rep. Mark Pocan [D],Democrat
412595,IL,2,Yea,Rep. Robin Kelly [D],Democrat
412596,MO,8,Nay,Rep. Jason Smith [R],Republican
412600,MA,5,Yea,Rep. Katherine Clark [D],Democrat
412601,AL,1,Not Voting,Rep. Bradley Byrne [R],Republican
412606,NJ,1,Yea,Rep. Donald Norcross [D],Democrat
412607,NC,12,Not Voting,Rep. Alma Adams [D],Democrat
412608,AL,6,Nay,Rep. Gary Palmer [R],Republican
412609,AR,2,Nay,Rep. French Hill [R],Republican
412610,AR,4,Nay,Rep. Bruce Westerman [R],Republican
412612,AZ,7,Yea,Rep. Ruben Gallego [D],Democrat
412613,CA,11,Yea,Rep. Mark DeSaulnier [D],Democrat
412615,CA,31,Yea,Rep. Pete Aguilar [D],Democrat
412616,CA,33,Yea,Rep. Ted Lieu [D],Democrat
412617,CA,35,Yea,Rep. Norma Torres [D],Democrat
412619,CO,4,Nay,Rep. Ken Buck [R],Republican
412622,GA,1,Nay,Rep. Buddy Carter [R],Republican
412623,GA,10,Nay,Rep. Jody Hice [R],Republican
412624,GA,11,Nay,Rep. Barry Loudermilk [R],Republican
412625,GA,12,Nay,Rep. Rick Allen [R],Republican
412629,IL,12,Nay,Rep. Mike Bost [R],Republican
412630,LA,5,Nay,Rep. Ralph Abraham [R],Republican
412631,LA,6,Nay,Rep. Garret Graves [R],Republican
412632,MA,6,Yea,Rep. Seth Moulton [D],Democrat
412634,MI,4,Nay,Rep. John Moolenaar [R],Republican
412637,MI,12,Yea,Rep. Debbie Dingell [D],Democrat
412638,MI,14,Yea,Rep. Brenda Lawrence [D],Democrat
412639,MN,6,Nay,Rep. Tom Emmer [R],Republican
412641,NC,7,Nay,Rep. David Rouzer [R],Republican
412644,NJ,12,Yea,Rep. Bonnie Watson Coleman [D],Democrat
412646,NY,1,Nay,Rep. Lee Zeldin [R],Republican
412647,NY,4,Yea,Rep. Kathleen Rice [D],Democrat
412648,NY,21,Nay,Rep. Elise Stefanik [R],Republican
412649,NY,24,Nay,Rep. John Katko [R],Republican
412652,PA,2,Yea,Rep. Brendan Boyle [D],Democrat
412653,TX,4,Nay,"Rep. John Ratcliffe [R, 2015-2020]",Republican
412654,TX,23,Nay,Rep. Will Hurd [R],Republican
412655,TX,36,Nay,Rep. Brian Babin [R],Republican
412657,VA,8,Yea,Rep. Donald Beyer [D],Democrat
412660,WA,4,Nay,Rep. Dan Newhouse [R],Republican
412661,WI,6,Nay,Rep. Glenn Grothman [R],Republican
412662,WV,2,Nay,Rep. Alex Mooney [R],Republican
412670,NC,6,Not Voting,Rep. Mark Walker [R],Republican
412673,MS,1,Nay,Rep. Trent Kelly [R],Republican
412674,IL,18,Not Voting,Rep. Darin LaHood [R],Republican
412675,OH,8,Nay,Rep. Warren Davidson [R],Republican
412676,KY,1,Nay,Rep. James Comer [R],Republican
412677,PA,3,Yea,Rep. Dwight Evans [D],Democrat
412682,AZ,1,Yea,Rep. Tom O’Halleran [D],Democrat
412683,AZ,5,Nay,Rep. Andy Biggs [R],Republican
412684,CA,17,Yea,Rep. Ro Khanna [D],Democrat
412685,CA,20,Yea,Rep. Jimmy Panetta [D],Democrat
412686,CA,24,Yea,Rep. Salud Carbajal [D],Democrat
412687,CA,44,Yea,Rep. Nanette Barragán [D],Democrat
412688,CA,46,Yea,Rep. Luis Correa [D],Democrat
412689,DE,0,Yea,Rep. Lisa Blunt Rochester [D],Democrat
412690,FL,1,Nay,Rep. Matt Gaetz [R],Republican
412691,FL,2,Nay,Rep. Neal Dunn [R],Republican
412692,FL,4,Nay,Rep. John Rutherford [R],Republican
412693,FL,5,Yea,Rep. Al Lawson [D],Democrat
412694,FL,7,Yea,Rep. Stephanie Murphy [D],Democrat
412695,FL,9,Yea,Rep. Darren Soto [D],Democrat
412696,FL,10,Yea,Rep. Val Demings [D],Democrat
412697,FL,13,Yea,Rep. Charlie Crist [D],Democrat
412698,FL,18,Not Voting,Rep. Brian Mast [R],Republican
412699,FL,19,Yea,Rep. Francis Rooney [R],Republican
412700,GA,3,Nay,Rep. Drew Ferguson IV [R],Republican
412701,IL,8,Yea,Rep. Raja Krishnamoorthi [D],Democrat
412702,IN,3,Nay,Rep. Jim Banks [R],Republican
412703,IN,9,Nay,Rep. Trey Hollingsworth [R],Republican
412704,KS,1,Nay,Rep. Roger Marshall [R],Republican
412705,LA,3,Nay,Rep. Clay Higgins [R],Republican
412706,LA,4,Nay,Rep. Mike Johnson [R],Republican
412707,MD,4,Yea,Rep. Anthony Brown [D],Democrat
412708,MD,8,Yea,Rep. Jamie Raskin [D],Democrat
412709,MI,1,Nay,Rep. Jack Bergman [R],Republican
412710,MI,10,Nay,Rep. Paul Mitchell [R],Republican
412712,NC,13,Nay,Rep. Ted Budd [R],Republican
412713,NE,2,Nay,Rep. Don Bacon [R],Republican
412714,NJ,5,Yea,Rep. Josh Gottheimer [D],Democrat
412717,NY,3,Yea,Rep. Thomas Suozzi [D],Democrat
412718,NY,13,Yea,Rep. Adriano Espaillat [D],Democrat
412721,PA,1,Yea,Rep. Brian Fitzpatrick [R],Republican
412722,PA,11,Nay,Rep. Lloyd Smucker [R],Republican
412724,TN,8,Nay,Rep. David Kustoff [R],Republican
412725,TX,15,Yea,Rep. Vicente Gonzalez [D],Democrat
412726,TX,19,Nay,Rep. Jodey Arrington [R],Republican
