House Vote #624 2019-11-15T12:04:00 - H.R. 4863: United States Export Finance Agency Act of 2019
person,state,district,vote,name,party
412561,NY,8,Aye,Rep. Hakeem Jeffries [D],Democrat
412562,NY,18,Aye,Rep. Sean Maloney [D],Democrat
412564,OH,2,No,Rep. Brad Wenstrup [R],Republican
412565,OH,3,Aye,Rep. Joyce Beatty [D],Democrat
412566,OH,14,No,Rep. David Joyce [R],Republican
412568,OK,2,No,Rep. Markwayne Mullin [R],Republican
412569,PA,10,No,Rep. Scott Perry [R],Republican
412571,PA,8,Aye,Rep. Matthew Cartwright [D],Democrat
412572,SC,7,No,Rep. Tom Rice [R],Republican
412574,TX,14,No,Rep. Randy Weber [R],Republican
412576,TX,20,Aye,Rep. Joaquin Castro [D],Democrat
412578,TX,25,No,Rep. Roger Williams [R],Republican
412579,TX,33,Aye,Rep. Marc Veasey [D],Democrat
412580,TX,34,Aye,Rep. Filemon Vela [D],Democrat
412581,UT,2,No,Rep. Chris Stewart [R],Republican
412583,WA,6,Aye,Rep. Derek Kilmer [D],Democrat
412584,WA,10,Aye,Rep. Denny Heck [D],Democrat
412585,WI,2,Aye,Rep. Mark Pocan [D],Democrat
412595,IL,2,Aye,Rep. Robin Kelly [D],Democrat
412596,MO,8,No,Rep. Jason Smith [R],Republican
412600,MA,5,Aye,Rep. Katherine Clark [D],Democrat
412601,AL,1,No,Rep. Bradley Byrne [R],Republican
412606,NJ,1,Aye,Rep. Donald Norcross [D],Democrat
412607,NC,12,Aye,Rep. Alma Adams [D],Democrat
412608,AL,6,No,Rep. Gary Palmer [R],Republican
412609,AR,2,No,Rep. French Hill [R],Republican
412610,AR,4,No,Rep. Bruce Westerman [R],Republican
412612,AZ,7,Not Voting,Rep. Ruben Gallego [D],Democrat
412613,CA,11,Aye,Rep. Mark DeSaulnier [D],Democrat
412615,CA,31,Aye,Rep. Pete Aguilar [D],Democrat
412616,CA,33,Aye,Rep. Ted Lieu [D],Democrat
412617,CA,35,Aye,Rep. Norma Torres [D],Democrat
412619,CO,4,No,Rep. Ken Buck [R],Republican
412622,GA,1,No,Rep. Buddy Carter [R],Republican
412623,GA,10,No,Rep. Jody Hice [R],Republican
412624,GA,11,No,Rep. Barry Loudermilk [R],Republican
412625,GA,12,No,Rep. Rick Allen [R],Republican
412629,IL,12,No,Rep. Mike Bost [R],Republican
412630,LA,5,No,Rep. Ralph Abraham [R],Republican
412631,LA,6,No,Rep. Garret Graves [R],Republican
412632,MA,6,Aye,Rep. Seth Moulton [D],Democrat
412634,MI,4,No,Rep. John Moolenaar [R],Republican
412637,MI,12,Aye,Rep. Debbie Dingell [D],Democrat
412638,MI,14,Aye,Rep. Brenda Lawrence [D],Democrat
412639,MN,6,No,Rep. Tom Emmer [R],Republican
412641,NC,7,No,Rep. David Rouzer [R],Republican
412644,NJ,12,Aye,Rep. Bonnie Watson Coleman [D],Democrat
412646,NY,1,No,Rep. Lee Zeldin [R],Republican
412647,NY,4,Aye,Rep. Kathleen Rice [D],Democrat
412648,NY,21,Aye,Rep. Elise Stefanik [R],Republican
412649,NY,24,Aye,Rep. John Katko [R],Republican
412652,PA,2,Aye,Rep. Brendan Boyle [D],Democrat
412653,TX,4,No,"Rep. John Ratcliffe [R, 2015-2020]",Republican
412654,TX,23,No,Rep. Will Hurd [R],Republican
412655,TX,36,No,Rep. Brian Babin [R],Republican
412657,VA,8,Aye,Rep. Donald Beyer [D],Democrat
412660,WA,4,Aye,Rep. Dan Newhouse [R],Republican
412661,WI,6,No,Rep. Glenn Grothman [R],Republican
412662,WV,2,No,Rep. Alex Mooney [R],Republican
412670,NC,6,No,Rep. Mark Walker [R],Republican
412673,MS,1,No,Rep. Trent Kelly [R],Republican
412674,IL,18,No,Rep. Darin LaHood [R],Republican
412675,OH,8,No,Rep. Warren Davidson [R],Republican
412676,KY,1,No,Rep. James Comer [R],Republican
412677,PA,3,Aye,Rep. Dwight Evans [D],Democrat
412682,AZ,1,Aye,Rep. Tom O’Halleran [D],Democrat
412683,AZ,5,No,Rep. Andy Biggs [R],Republican
412684,CA,17,Aye,Rep. Ro Khanna [D],Democrat
412685,CA,20,Aye,Rep. Jimmy Panetta [D],Democrat
412686,CA,24,Aye,Rep. Salud Carbajal [D],Democrat
412687,CA,44,Aye,Rep. Nanette Barragán [D],Democrat
412688,CA,46,Aye,Rep. Luis Correa [D],Democrat
412689,DE,0,Aye,Rep. Lisa Blunt Rochester [D],Democrat
412690,FL,1,No,Rep. Matt Gaetz [R],Republican
412691,FL,2,No,Rep. Neal Dunn [R],Republican
412692,FL,4,No,Rep. John Rutherford [R],Republican
412693,FL,5,Aye,Rep. Al Lawson [D],Democrat
